1.54859,0.02,0.194,6.0
1.54859,0.08,0.194,6.0
1.54859,0.14,0.193,6.0
1.54859,0.2,0.195,6.0
1.54859,0.26,0.193,6.0
1.54859,0.32,0.193,6.0
1.54859,0.38,0.194,6.0
1.54859,0.44,0.194,6.0
1.54859,0.5,0.193,6.0
1.54859,0.56,0.194,6.0
1.54859,1.4,0.192,6.0
1.54859,1.46,0.193,6.0
1.54859,1.58,0.191,6.0
1.54859,1.64,0.191,6.0
1.54859,1.7,0.191,6.0
1.54859,1.88,0.191,6.0
1.54859,1.94,0.191,6.0
1.54859,2.0,0.192,6.0
1.55858,0.02,0.196,6.0
1.55858,0.08,0.195,6.0
1.55858,0.14,0.195,6.0
1.55858,0.2,0.195,6.0
1.55858,0.26,0.194,6.0
1.55858,0.32,0.194,6.0
1.55858,0.38,0.197,6.0
1.55858,0.5,0.195,6.0
1.55858,0.56,0.194,6.0
1.55858,1.4,0.194,6.0
1.55858,1.46,0.193,6.0
1.55858,1.52,0.193,6.0
1.55858,1.58,0.193,6.0
1.55858,1.64,0.193,6.0
1.55858,1.7,0.192,6.0
1.55858,1.82,0.193,6.0
1.55858,2.0,0.192,6.0
1.56859,0.02,0.198,6.0
1.56859,0.08,0.198,6.0
1.56859,0.14,0.198,6.0
1.56859,0.2,0.197,6.0
1.56859,0.26,0.198,6.0
1.56859,0.32,0.198,6.0
1.56859,0.38,0.197,6.0
1.56859,0.44,0.197,6.0
1.56859,0.5,0.198,6.0
1.56859,0.56,0.196,6.0
1.56859,1.4,0.196,6.0
1.56859,1.46,0.195,6.0
1.56859,1.52,0.194,6.0
1.56859,1.58,0.195,6.0
1.56859,1.64,0.195,6.0
1.56859,1.7,0.194,6.0
1.56859,1.76,0.195,6.0
1.56859,1.82,0.195,6.0
1.56859,1.88,0.195,6.0
1.56859,1.94,0.195,6.0
1.57858,0.02,0.2,6.0
1.57858,0.08,0.201,6.0
1.57858,0.14,0.2,6.0
1.57858,0.2,0.199,6.0
1.57858,0.26,0.2,6.0
1.57858,0.32,0.199,6.0
1.57858,0.38,0.199,6.0
1.57858,0.44,0.199,6.0
1.57858,0.5,0.199,6.0
1.57858,0.56,0.198,6.0
1.57858,1.4,0.197,6.0
1.57858,1.46,0.197,6.0
1.57858,1.52,0.196,6.0
1.57858,1.64,0.196,6.0
1.57858,1.7,0.197,6.0
1.57858,1.76,0.196,6.0
1.57858,1.94,0.196,6.0
1.58858,0.02,0.203,6.0
1.58858,0.08,0.202,6.0
1.58858,0.14,0.202,6.0
1.58858,0.2,0.203,6.0
1.58858,0.26,0.201,6.0
1.58858,0.32,0.201,6.0
1.58858,0.38,0.201,6.0
1.58858,0.44,0.201,6.0
1.58858,0.5,0.2,6.0
1.58858,0.56,0.2,6.0
1.58858,1.4,0.2,6.0
1.58858,1.46,0.199,6.0
1.58858,1.52,0.2,6.0
1.58858,1.58,0.198,6.0
1.58858,1.64,0.199,6.0
1.58858,1.7,0.199,6.0
1.58858,1.76,0.198,6.0
1.58858,1.82,0.199,6.0
1.58858,1.88,0.199,6.0
1.58858,1.94,0.198,6.0
1.58858,2.0,0.198,6.0
1.59858,0.02,0.205,6.273
1.59858,0.08,0.204,6.072
1.59858,0.08,0.204,6.072
1.59858,0.14,0.205,6.35
1.59858,0.2,0.205,6.021
1.59858,0.26,0.204,6.048
1.59858,0.32,0.205,6.004
1.59858,0.38,0.204,6.002
1.59858,0.5,0.203,6.011
1.59858,0.56,0.203,6.0
1.59858,1.4,0.201,6.0
1.59858,1.46,0.201,6.0
1.59858,1.52,0.201,6.0
1.59858,1.58,0.2,6.0
1.59858,1.64,0.201,6.0
1.59858,1.7,0.201,6.0
1.59858,1.76,0.201,6.0
1.59858,1.82,0.201,6.0
1.59858,1.88,0.2,6.0
1.59858,1.94,0.2,6.0
1.59858,2.0,0.2,6.0
1.60858,0.02,0.214,8.596
1.60858,0.08,0.214,8.597
1.60858,0.14,0.214,8.602
1.60858,0.2,0.213,8.517
1.60858,0.26,0.215,8.637
1.60858,0.32,0.213,8.588
1.60858,0.38,0.212,8.373
1.60858,0.44,0.212,8.601
1.60858,0.5,0.214,8.577
1.60858,1.4,0.203,6.287
1.60858,1.46,0.206,7.122
1.60858,1.52,0.203,6.977
1.60858,1.58,0.204,7.354
1.60858,1.64,0.203,6.25
1.60858,1.7,0.204,6.182
1.60858,1.76,0.203,6.573
1.60858,1.82,0.203,6.054
1.60858,1.88,0.202,6.066
1.60858,1.94,0.201,6.0
1.60858,2.0,0.201,6.002
1.61858,0.02,0.218,8.546
1.61858,0.08,0.217,8.567
1.61858,0.14,0.216,8.524
1.61858,0.2,0.216,8.566
1.61858,0.26,0.216,8.552
1.61858,0.32,0.217,8.55
1.61858,0.38,0.215,8.481
1.61858,0.44,0.214,8.431
1.61858,0.5,0.215,8.604
1.61858,0.56,0.215,8.624
1.61858,1.4,0.212,8.569
1.61858,1.46,0.211,8.562
1.61858,1.52,0.21,8.599
1.61858,1.58,0.211,8.634
1.61858,1.7,0.211,8.577
1.61858,1.76,0.212,8.64
1.61858,1.82,0.21,8.511
1.61858,1.88,0.209,8.632
1.61858,1.94,0.211,8.515
1.61858,2.0,0.209,8.586
1.62858,0.02,0.221,8.248
1.62858,0.08,0.223,8.264
1.62858,0.14,0.221,8.289
1.62858,0.2,0.222,8.325
1.62858,0.26,0.222,8.291
1.62858,0.32,0.221,8.315
1.62858,0.38,0.22,8.344
1.62858,0.44,0.22,8.328
1.62858,0.5,0.219,8.335
1.62858,0.56,0.221,8.379
1.62858,1.4,0.215,8.546
1.62858,1.46,0.216,8.582
1.62858,1.52,0.216,8.451
1.62858,1.58,0.214,8.497
